Id,Year,Certificate,Duration (min),Genre,Rating
0,57,20,53,206,46
1,57,19,83,12,55
2,57,19,35,169,37
3,57,19,64,22,55
4,57,20,69,352,59
5,57,20,47,385,50
6,57,20,47,13,57
7,57,20,41,245,43
8,57,20,58,54,52
9,57,19,104,5,69
10,57,20,86,12,65
11,57,19,62,5,62
12,57,19,53,90,44
13,57,20,42,4,50
14,57,10,79,263,56
15,57,18,42,152,50
16,57,20,31,377,53
17,57,24,78,5,56
18,57,20,59,76,52
19,57,24,70,385,50
20,57,19,30,377,32
21,57,19,53,7,46
22,57,20,79,206,61
23,57,20,30,66,37
24,57,10,65,31,55
25,57,24,74,7,47
26,57,19,49,350,49
27,57,24,43,51,58
28,57,20,117,175,65
29,57,24,58,12,39
30,57,24,68,5,58
31,57,10,70,181,59
32,57,20,60,177,48
33,57,20,43,76,46
34,57,20,59,76,44
35,57,19,77,31,39
36,57,20,31,198,34
37,57,24,93,5,62
38,57,10,40,382,52
39,57,20,71,198,61
40,57,24,58,12,63
41,57,21,39,145,43
42,57,19,60,5,34
43,57,10,51,34,60
44,57,18,32,138,45
45,57,19,43,326,56
46,57,10,112,255,73
47,57,20,27,377,41
48,57,21,50,133,62
49,57,24,52,90,50
50,57,24,129,350,61
51,57,20,44,41,45
52,57,24,63,345,54
53,57,18,51,302,60
54,57,19,71,5,38
55,57,26,60,338,49
56,57,19,45,103,52
57,57,20,43,382,47
58,57,20,56,245,52
59,57,10,80,300,74
60,57,20,49,41,49
61,57,24,51,13,47
62,57,19,54,12,21
63,57,20,29,377,46
64,57,20,89,267,59
65,57,24,107,110,69
66,57,21,59,7,68
67,57,20,69,359,52
68,57,10,99,198,58
69,57,19,64,175,58
70,57,20,51,76,47
71,57,18,33,145,38
72,57,20,47,41,50
73,57,20,58,276,43
74,57,18,62,300,61
75,57,21,115,5,71
76,57,10,73,350,43
77,57,24,68,42,64
78,57,20,43,313,59
79,57,19,38,328,48
80,57,10,136,259,58
81,57,20,57,377,50
82,57,24,93,5,67
83,57,18,54,89,52
84,57,19,48,7,43
85,36,10,70,41,54
86,36,10,92,255,71
87,36,5,35,88,58
88,36,24,86,12,70
89,36,24,90,35,72
90,36,18,21,145,49
91,36,21,90,116,58
92,36,26,77,267,56
93,36,10,41,382,51
94,36,24,62,90,52
95,36,24,43,24,60
96,36,20,76,347,47
97,36,24,48,240,54
98,36,21,133,5,72
99,36,19,41,7,41
100,36,20,28,279,52
101,36,20,24,398,23
102,36,10,41,245,46
103,36,19,95,5,49
104,36,24,73,135,66
105,36,24,55,245,47
106,36,10,130,175,72
107,36,24,46,331,40
108,36,10,62,7,53
109,36,10,74,72,69
110,36,24,80,350,70
111,36,20,38,241,27
112,36,20,41,76,36
113,36,24,80,7,48
114,36,20,54,255,57
115,36,20,53,20,58
116,36,10,117,167,64
117,36,10,67,12,55
118,36,20,48,276,42
119,36,20,29,186,49
120,36,24,101,103,55
121,36,24,113,35,60
122,36,24,102,49,62
123,36,20,33,385,53
124,36,21,75,12,45
125,36,20,46,20,62
126,40,24,80,12,54
127,40,20,40,200,51
128,40,20,55,383,67
129,40,20,55,198,57
130,40,20,31,385,36
131,40,21,26,12,50
132,40,24,54,245,53
133,40,10,82,5,55
134,40,10,77,300,70
135,40,24,125,257,68
136,40,10,40,35,57
137,40,20,35,347,42
138,40,19,50,239,39
139,40,24,79,7,46
140,40,24,101,13,59
141,40,19,80,172,58
142,40,21,48,13,54
143,40,20,38,188,52
144,40,20,57,3,58
145,40,21,31,245,52
146,40,24,43,350,61
147,40,10,135,35,44
148,40,10,91,113,66
149,40,21,78,7,58
150,40,21,69,7,65
151,40,20,51,186,44
152,40,24,62,7,69
153,40,20,22,97,47
154,40,20,41,334,52
155,40,10,70,359,67
156,40,10,107,41,59
157,40,20,28,398,24
158,40,24,55,385,55
159,40,20,44,231,25
160,40,20,96,2,46
161,40,10,77,3,60
162,40,24,69,7,43
163,40,24,116,5,70
164,40,10,56,267,68
165,40,10,86,331,53
166,40,21,78,138,68
167,40,19,62,7,38
168,29,10,85,198,55
169,29,24,71,12,60
170,29,24,60,300,65
171,29,21,76,12,60
172,29,24,67,333,48
173,29,21,64,350,65
174,29,0,63,353,24
175,29,19,39,232,43
176,29,19,45,177,45
177,29,18,50,324,49
178,29,21,35,206,55
179,29,21,52,89,59
180,29,10,54,345,43
181,29,24,85,12,38
182,29,7,42,221,37
183,29,10,60,267,66
184,29,10,65,263,68
185,29,24,86,7,64
186,29,21,29,255,52
187,29,10,51,263,57
188,29,24,118,5,66
189,29,20,28,186,12
190,29,24,34,12,58
191,29,19,61,181,51
192,29,21,29,121,38
193,29,21,75,12,66
194,29,24,65,12,64
195,29,10,87,347,63
196,29,10,100,49,58
197,29,18,47,175,57
198,29,10,108,35,65
