Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
5148,5014,57,18,49,195,42,60,1750,342,2832,4962,334,2580,5232
5787,2550,57,17,79,12,51,59,2566,4650,2154,4464,353,593,2881
6168,5894,57,17,31,158,33,35,1138,2365,1597,3911,604,6146,4244
1927,4818,57,17,60,21,51,66,577,5244,3682,520,660,1915,3529
3502,949,57,18,65,338,55,75,1540,6344,3203,5038,365,5605,5297
4819,194,57,18,43,369,46,55,1650,6063,2715,2311,336,5440,1134
5006,1010,57,18,43,13,53,68,71,3591,5126,924,921,3364,1630
4598,404,57,18,37,234,39,45,2572,5718,5816,2353,648,4127,5678
4712,5233,57,18,54,52,48,50,932,2257,2016,5083,280,2127,664
2940,1422,57,17,100,5,65,72,627,5872,3873,4684,220,3205,5423
3921,1799,57,18,82,12,61,76,853,403,2601,5333,543,1182,1971
4528,1899,57,17,58,5,58,74,2407,4389,5425,4726,826,3358,2887
3209,1859,57,17,49,86,40,39,874,4733,3736,6240,690,3298,3146
5870,2804,57,18,38,4,46,70,2164,309,1929,3775,1207,4199,1152
1409,5062,57,10,75,251,52,41,559,5063,1973,3173,609,1152,1843
5755,2654,57,18,27,361,49,65,347,1209,4045,964,519,5784,3593
3073,5999,57,22,74,5,52,75,1654,285,2879,2508,991,1777,819
4068,3060,57,18,55,72,48,63,644,1535,3927,2745,601,2326,1368
5861,4446,57,17,26,361,28,31,2311,318,2978,6067,1076,1812,2763
4841,1894,57,17,49,7,42,40,29,4920,4449,5724,689,5059,6099
3227,3583,57,18,75,195,57,81,2606,1819,2660,2682,37,3641,4233
125,419,57,18,26,63,33,53,235,4550,4943,605,920,5122,4976
170,849,57,10,61,30,51,42,577,672,4053,3570,190,2667,4279
4965,4280,57,22,70,7,43,44,851,1900,5927,5712,562,592,3718
5662,5840,57,17,45,336,45,57,940,2366,1872,1759,338,3647,1004
5464,3794,57,22,39,49,54,61,2179,2496,4763,1666,827,2412,4009
103,3375,57,18,113,164,61,83,447,1156,5525,5402,556,3483,6355
4849,3551,57,22,54,12,35,43,2443,3977,2325,3956,87,4019,4676
5083,1202,57,22,64,5,54,72,1654,2014,4291,5248,834,2945,569
4364,5050,57,10,66,170,55,66,2253,6316,5037,5512,476,4479,1735
5252,495,57,18,56,166,44,42,2208,3950,4924,5284,930,2762,573
6202,4576,57,18,39,72,42,47,553,2642,6110,4651,945,5515,5828
3345,3801,57,18,55,72,40,50,672,2451,657,3529,88,2073,94
5659,427,57,17,73,30,35,28,1671,2263,5329,1412,1005,3970,2493
16,3012,57,18,27,187,30,34,1022,4015,354,411,1188,1545,3344
156,1421,57,22,89,5,58,67,627,5870,5951,1239,798,5573,4623
2920,531,57,10,36,366,48,71,2612,2081,1679,1965,1093,4656,5590
3150,4971,57,18,67,187,57,75,80,4709,1049,409,748,1625,1463
2875,2842,57,22,54,12,59,83,853,5976,14,4044,235,537,1336
5394,3715,57,17,56,5,30,29,2615,5590,3810,4376,774,3323,3227
1721,4877,57,10,47,33,56,44,932,4095,3878,2615,205,2646,5016
5707,2587,57,16,28,131,41,47,1782,5623,3570,2274,443,5584,5472
5525,5658,57,17,39,312,52,85,1308,1109,5993,3086,638,2895,4766
34,4892,57,10,108,243,69,93,772,4002,1846,5165,683,6163,5554
3920,2278,57,18,23,361,37,50,1735,5722,2284,3255,311,3204,3069
6357,3551,57,19,46,126,58,72,790,977,1804,2771,692,3672,3924
3732,533,57,22,48,86,46,73,922,3938,4668,3101,132,1157,3751
204,5726,57,22,124,336,57,68,1033,3735,44,1530,425,5305,1119
3278,2294,57,18,40,40,41,53,2112,3483,820,4048,920,5776,4133
589,6069,57,22,59,331,50,36,1882,1283,698,1976,862,1153,884
45,5905,57,16,47,288,56,39,2060,2969,76,3109,719,5712,2944
5598,3714,57,17,67,5,34,24,2615,5590,557,6104,201,1845,3181
3978,3647,57,24,56,324,45,23,706,5593,4583,4111,647,807,4033
4003,446,57,17,41,98,48,47,2296,3996,391,2692,920,3734,3424
588,6156,57,18,39,366,43,73,2440,4214,1534,3929,1050,5692,3857
4510,3731,57,18,52,234,48,55,1665,5787,4363,6244,517,345,563
3018,5459,57,10,76,286,70,75,780,5852,1890,4673,1099,4368,899
3919,775,57,18,45,40,45,40,1799,616,3006,631,861,1773,2470
4177,5846,57,22,47,13,43,61,1066,2242,2105,5852,756,2700,1917
5108,2847,57,17,50,12,17,19,2193,1297,4807,3251,1056,2541,3702
99,363,57,18,85,255,55,79,1383,5371,732,1952,594,385,5883
6261,2337,57,22,103,105,65,67,447,4093,1852,5977,681,3577,1996
4472,4279,57,19,55,7,64,83,851,3958,59,4444,239,3881,6023
42,3885,57,18,65,345,48,54,713,497,2003,1665,1015,5510,4569
4657,3347,57,10,95,187,54,77,2007,3723,5922,555,685,3954,1554
4233,1189,57,17,60,164,54,66,2466,3965,209,373,755,3438,3296
2861,2634,57,18,47,72,43,50,2580,3763,2020,176,302,6263,3692
5132,6122,57,16,29,136,34,40,404,1918,3454,2106,626,1181,3246
5293,4800,57,18,43,40,46,51,176,1500,550,4796,745,5301,5253
5072,1722,57,18,54,264,39,51,2103,1832,66,3587,466,544,2299
5218,3496,57,16,58,286,57,73,2592,3601,3840,3824,307,3331,6308
2881,5165,57,19,111,5,67,85,1967,1719,1845,1100,797,3535,245
5820,2796,57,10,69,336,39,44,831,407,5240,4540,288,2096,4963
6122,5759,57,22,64,41,60,71,1330,5917,5415,2537,563,3231,2693
6396,284,57,18,39,299,55,83,126,274,4277,1495,346,266,3200
2489,2239,57,17,34,314,44,76,1068,3295,6161,5866,902,5695,1563
2086,2534,57,10,130,247,54,82,1637,3739,2455,6211,36,3187,4003
2683,4841,57,18,53,361,46,58,186,4493,839,2023,315,5615,1532
229,1878,57,22,89,5,63,60,2077,5225,73,666,419,1401,37
3064,6143,57,16,50,85,48,59,1928,5868,1051,6341,900,3021,3774
4247,1166,57,17,44,7,39,39,1351,4387,5864,547,739,3209,5887
749,4798,36,10,66,40,50,50,176,1509,3994,1061,884,2860,4713
3244,3641,36,10,88,243,67,88,2007,3090,1857,5311,546,5016,4115
4763,5328,36,5,31,84,54,63,2522,4315,231,6396,858,856,725
1953,2302,36,22,82,12,66,67,447,3734,1874,1776,564,3576,5825
687,4734,36,22,86,34,68,77,447,1093,1888,6250,906,2044,5921
4926,3007,36,16,17,136,45,49,239,2151,2552,575,282,1036,1326
3884,2032,36,19,86,111,54,58,407,1365,5926,2904,227,5883,1863
4148,5523,36,24,73,255,52,69,171,4058,2472,4090,990,1881,6106
1785,4604,36,10,37,366,47,58,2235,4041,1815,2365,74,2783,3244
1084,1858,36,22,58,86,48,38,1082,874,2141,6118,199,4680,2856
6394,1856,36,22,39,23,56,64,1000,594,4183,5609,913,639,6043
1064,2674,36,18,72,333,43,61,2200,3252,1831,585,149,5775,6012
6381,1937,36,22,44,229,50,63,2024,3084,3087,3764,727,2274,1539
3938,5166,36,19,127,5,68,87,1967,1722,85,3746,561,3662,4421
1880,4918,36,17,37,7,37,35,2605,4069,1094,4083,736,329,662
4601,5113,36,18,24,267,48,65,773,2889,1849,6319,349,1808,5340
2503,3257,36,10,37,234,42,52,837,2750,1351,4630,749,3898,3849
